Areas,Mean,Temp.,Humidity,Std. Deviation,Minimum,Maximum
,,°C,%,,,
Commercial Area ,42.99,20,99,6.64,30.5,50.6
African hall,57.48,20,99,13.41,30.7,74.9
Chancellor hall,47.78,20,99,4.73,42.4,54.7
Republic Hall,51.51,20,99,4.07,44.2,58.1
Queen Elizabeth hall,49.92,20,99,5.26,43.4,57.3
Independence hall ,54.22,20,99,5.77,45.4,65.5
Main Administration,49.68,20,99,4.32,41.2,55.4
Unity Hall,52.39,20,99,10.69,40,82.8
SRC hostel,50.04,20,99,10.69,38.3,78.9
University hall,47.98,20,99,5.89,39,56.7
College of Science,59.55,22,91,9.64,45.7,70.2
College of Engineering,58.57,22,91,13.95,39.1,74.8
College of Built and Art,62.33,22,91,13.03,35.8,80.3
Pharmacy science,60.86,22,91,8.09,46.4,74.2
College of Agriculture,61.34,23,100,12.83,40.9,83.7
Institute of Distance Learning,59.24,23,100,11.95,42.4,76.2
Faculty of Social Science,60.56,23,100,9.98,44.7,76.2
Brunei,41.06,23,100,,,
KCCR,43.73,23,100,,,
Arts Workshops,69.88,23,100,,,
Opoku Ware II Museum,62.7,23,100,,,
KNUST Islamic Centre,58.94,23,100,,,
KSB,71.31,23,100,,,
FOSS New Block,58.17,23,100,,,
Faculty of Renewable,74.01,23,100,,,
